ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS
27,GRD,,001,4,,,,,109442,,2010-07-30T06:44:00,2010-07-30 10:44,EASTERN,,,SMRSL,Y
28,GRD,,002,1,,,,,109417,,2010-04-26T15:00:00,2010-04-26 19:00,EASTERN,,,SMRSL,Y
29,GRD,,002,2,,,,,109417,,2010-05-13T12:25:00,2010-05-13 16:25,EASTERN,,,SMRSL,Y
30,GRD,,002,3,,,,,109417,,2010-05-26T14:57:00,2010-05-26 18:57,EASTERN,,,SMRSL,Y
31,GRD,,002,4,,,,,109417,,2010-06-21T11:19:00,2010-06-21 15:19,EASTERN,,,SMRSL,Y
32,GRD,,002,5,,,,,109417,,2010-07-30T07:11:00,2010-07-30 11:11,EASTERN,,,SMRSL,Y
33,GRD,,003,1,,,,,106328,,2010-06-21T13:18:00,2010-06-21 17:18,EASTERN,,,SMRSL,Y
34,GRD,,003,2,,,,,106328,,2010-07-30T08:25:00,2010-07-30 12:25,EASTERN,,,SMRSL,Y
35,GRD,,004,1,,,,,109469,,2010-06-21T10:51:00,2010-06-21 14:51,EASTERN,,,SMRSL,Y
36,GRD,,004,2,,,,,109469,,2010-07-30T07:28:00,2010-07-30 11:28,EASTERN,,,SMRSL,Y
37,GRD,,005,1,,,,,109412,,2010-05-13T13:24:00,2010-05-13 17:24,EASTERN,,,SMRSL,Y
38,GRD,,005,2,,,,,109412,,2010-06-21T12:20:00,2010-06-21 16:20,EASTERN,,,SMRSL,Y
39,GRD,,005,3,,,,,109412,,2010-07-30T08:09:00,2010-07-30 12:09,EASTERN,,,SMRSL,Y
40,GRD,,006,1,,,,,109462,,2010-05-13T13:54:00,2010-05-13 17:54,EASTERN,,,SMRSL,Y
41,GRD,,006,2,,,,,109462,,2010-06-21T10:15:00,2010-06-21 14:15,EASTERN,,,SMRSL,Y
42,GRD,,006,3,,,,,109462,,2010-07-30T07:54:00,2010-07-30 11:54,EASTERN,,,SMRSL,Y
43,IS1,,001,1,,,,,109458,,2010-06-03T11:15:00,2010-06-03 15:15,EASTERN,,,SMRSL,N
44,IS1,,001,2,,,,,109458,,2010-07-31T04:53:00,2010-07-31 08:53,EASTERN,,,SMRSL,N
45,IS1,,002,1,,,,,109415,,2010-07-31T05:25:00,2010-07-31 09:25,EASTERN,,,SMRSL,N
46,IS1,,003,1,,,,,109456,,2010-07-31T04:34:00,2010-07-31 08:34,EASTERN,,,SMRSL,N
47,IS1,,004,1,,,,,109407,,2010-06-24T10:44:00,2010-06-24 14:44,EASTERN,,,SMRSL,N
48,IS1,,004,2,,,,,109407,,2010-07-31T03:58:00,2010-07-31 07:58,EASTERN,,,SMRSL,N
49,IS3,,001,1,,,,,109470,,2010-07-31T06:08:00,2010-07-31 10:08,EASTERN,,,SMRSL,N
50,LMN,,001,1,,,,,109467,,2010-08-02T08:50:00,2010-08-02 12:50,EASTERN,,,SMRSL,N
51,LRC,,001,1,,,,,109436,,2010-04-27T07:32:00,2010-04-27 11:32,EASTERN,,,SMRSL,Y
52,LRC,,001,2,,,,,109436,,2010-07-28T06:57:00,2010-07-28 10:57,EASTERN,,,SMRSL,Y
53,LRC,,002,1,,,,,109428,,2010-07-28T09:06:00,2010-07-28 13:06,EASTERN,,,SMRSL,Y
54,LRC,,003,1,,,,,109455,,2010-06-22T11:39:00,2010-06-22 15:39,EASTERN,,,SMRSL,Y
55,LRC,,003,2,,,,,109455,,2010-07-28T05:35:00,2010-07-28 09:35,EASTERN,,,SMRSL,Y
56,LRC,,004,1,,,,,106785,,2010-07-28T08:36:00,2010-07-28 12:36,EASTERN,,,SMRSL,Y
57,LRC,,005,1,,,,,109931,,2010-07-28T05:56:00,2010-07-28 09:56,EASTERN,,,SMRSL,Y
58,LRC,,006,1,,,,,109465,,2010-04-27T06:36:00,2010-04-27 10:36,EASTERN,,,SMRSL,Y
59,LRC,,006,2,,,,,109465,,2010-07-28T07:54:00,2010-07-28 11:54,EASTERN,,,SMRSL,Y
60,LRC,,007,1,,,,,109426,,2010-08-04T10:27:00,2010-08-04 14:27,EASTERN,,,SMRSL,Y
61,LRP,,001,1,,,,,109122,,2010-07-31T07:16:00,2010-07-31 11:16,EASTERN,,,SMRSL,N
62,MNB,,001,1,,,,,109430,,2010-06-23T12:13:00,2010-06-23 16:13,EASTERN,,,SMRSL,N
63,MNB,,001,2,,,,,109430,,2010-07-29T13:02:00,2010-07-29 17:02,EASTERN,,,SMRSL,N
64,MNB,,002,1,,,,,109441,,2010-07-29T12:49:00,2010-07-29 16:49,EASTERN,,,SMRSL,N
65,OVP,,001,1,,,,,109449,,2010-08-01T05:38:00,2010-08-01 09:38,EASTERN,,,SMRSL,N
66,OVP,,002,1,,,,,109445,,2010-06-24T08:04:00,2010-06-24 12:04,EASTERN,,,SMRSL,N
67,OVP,,002,2,,,,,109445,,2010-08-01T05:11:00,2010-08-01 09:11,EASTERN,,,SMRSL,N
68,OVP,,003,1,,,,,109448,,2010-08-01T05:23:00,2010-08-01 09:23,EASTERN,,,SMRSL,N
69,PCH,,001,1,,,,,109408,,2010-04-19T06:52:00,2010-04-19 10:52,EASTERN,,,SMRSL,N
